name	group	protein (g)	calcium (g)	sodium (g)	fiber (g)	vitaminc (g)	potassium (g)	carbohydrate (g)	sugars (g)	fat (g)	water (g)	calories	saturated (g)	monounsat (g)	polyunsat (g)	id
Milk, chocolate, fluid, commercial, lowfat, with added vitamin A and vitamin D	Dairy and Egg Products	3.24	0.116	0.061	0.5	0.0009	0.17	10.44	9.94	1	82.34	63	0.616	0.3	0.035	27650
Milk, chocolate, fluid, commercial, reduced fat, with added calcium	Dairy and Egg Products	2.99	0.194	0.066	0.7	0	0.123	12.13	9.55	1.9	82.17	78	1.177	0.455	0.089	27651
Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D	Dairy and Egg Products	2.99	0.109	0.066	0.7	0	0.169	12.13	9.55	1.9	82.17	76	1.177	0.455	0.089	27652
Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D	Dairy and Egg Products	3.17	0.112	0.06	0.8	0.0009	0.167	10.34	9.54	3.39	82.3	83	2.104	0.99	0.124	27653
Protein supplement, milk based, Muscle Milk Light, powder	Dairy and Egg Products	50	1.2	0.25	2	0.042	0.84	22	4	12	12	396	1.087	8.474	1.239	27687
Protein supplement, milk based, Muscle Milk, powder	Dairy and Egg Products	45.71	0.5	0.329	7.1	0.03	1.129	18.5	5.71	17.14	15	411	1.553	12.105	1.77	27688
Reddi Wip Fat Free Whipped Topping	Dairy and Egg Products	3	0.108	0.072	0.4	0	0.108	25	16	5	66.44	149	2.869	1.25	0.299	27689
Basil, fresh	Spices and Herbs	3.15	0.177	0.004	1.6	0.018	0.295	2.65	0.3	0.64	92.06	23	0.041	0.088	0.389	27720
Capers, canned	Spices and Herbs	2.36	0.04	2.964	3.2	0.0043	0.04	4.89	0.41	0.86	83.85	23	0.233	0.063	0.304	27722
Horseradish, prepared	Spices and Herbs	1.18	0.056	0.314	3.3	0.0249	0.246	11.29	7.99	0.69	85.08	48	0.09	0.13	0.339	27724
Mustard, prepared, yellow	Spices and Herbs	4.37	0.058	1.135	3.3	0.0015	0.138	5.33	0.86	4.01	82.65	67	0.248	2.627	0.954	27725
Spices, basil, dried	Spices and Herbs	22.98	2.24	0.076	37.7	0.0008	2.63	47.75	1.71	4.07	10.35	233	2.157	1.238	0.498	27733
Spices, caraway seed	Spices and Herbs	19.77	0.689	0.017	38	0.021	1.351	49.9	0.64	14.59	9.87	333	0.62	7.125	3.272	27735
Spices, celery seed	Spices and Herbs	18.07	1.767	0.16	11.8	0.0171	1.4	41.35	0.67	25.27	6.04	392	2.19	15.93	3.72	27737
Spices, chili powder	Spices and Herbs	13.46	0.33	1.64	34.8	0.0007	1.95	49.7	7.19	14.28	10.75	282	2.462	3.211	8.006	27739
Spices, cinnamon, ground	Spices and Herbs	3.99	1.002	0.01	53.1	0.0038	0.431	80.59	2.17	1.24	10.58	247	0.345	0.246	0.068	27740
Spices, cloves, ground	Spices and Herbs	5.98	0.646	0.243	34.2	0.0808	1.102	61.21	2.38	20.07	6.86	323	5.438	1.471	7.088	27741
Spices, coriander leaf, dried	Spices and Herbs	21.93	1.246	0.211	10.4	0.5667	4.466	52.1	7.27	4.78	7.3	279	0.115	2.232	0.328	27742
Spices, cumin seed	Spices and Herbs	17.81	0.931	0.168	10.5	0.0077	1.788	44.24	2.25	22.27	8.06	375	1.535	14.04	3.279	27744
Spices, curry powder	Spices and Herbs	12.66	0.478	0.052	33.2	0.0114	1.543	58.15	2.76	13.81	9.52	325	2.237	5.551	2.557	27745
Spices, garlic powder	Spices and Herbs	16.55	0.079	0.06	9	0.0012	1.193	72.73	2.43	0.73	6.45	331	0.249	0.115	0.178	27750
Spices, ginger, ground	Spices and Herbs	8.98	0.114	0.027	14.1	0.0007	1.32	71.62	3.39	4.24	9.94	335	2.599	0.479	0.929	27751
Spices, marjoram, dried	Spices and Herbs	12.66	1.99	0.077	40.3	0.0514	1.522	60.56	4.09	7.04	7.64	271	0.529	0.94	4.405	27753
Spices, mustard seed, ground	Spices and Herbs	26.08	0.266	0.013	12.2	0.0071	0.738	28.09	6.79	36.24	5.27	508	1.989	22.518	10.088	27754
Spices, nutmeg, ground	Spices and Herbs	5.84	0.184	0.016	20.8	0.003	0.35	49.29	28.49	36.31	6.23	525	25.94	3.22	0.35	27755
Spices, onion powder	Spices and Herbs	10.41	0.384	0.073	15.2	0.0234	0.985	79.12	6.63	1.04	5.39	341	0.219	0.202	0.31	27756
Spices, oregano, dried	Spices and Herbs	9	1.597	0.025	42.5	0.0023	1.26	68.92	4.09	4.28	9.93	265	1.551	0.716	1.369	27757
Spices, paprika	Spices and Herbs	14.14	0.229	0.068	34.9	0.0009	2.28	53.99	10.34	12.89	11.24	282	2.14	1.695	7.766	27758
Spices, parsley, dried	Spices and Herbs	26.63	1.14	0.452	26.7	0.125	2.683	50.64	7.27	5.48	5.89	292	0.774	0.373	4.116	27759
Spices, pepper, black	Spices and Herbs	10.39	0.443	0.02	25.3	0	1.329	63.95	0.64	3.26	12.46	251	1.392	0.739	0.998	27760
Spices, pepper, red or cayenne	Spices and Herbs	12.01	0.148	0.03	27.2	0.0764	2.014	56.63	10.34	17.27	8.05	318	3.26	2.75	8.37	27761
Spices, poppy seed	Spices and Herbs	17.99	1.438	0.026	19.5	0.001	0.719	28.13	2.99	41.56	5.95	525	4.517	5.982	28.569	27763
Spices, poultry seasoning	Spices and Herbs	9.59	0.996	0.027	11.3	0.012	0.684	65.59	3.08	7.53	9.31	307	3.29	1.206	1.936	27764
Spices, pumpkin pie spice	Spices and Herbs	5.76	0.682	0.052	14.8	0.0234	0.663	69.28	7.76	12.6	8.46	342	6.53	1.102	0.78	27765
Spices, sage, ground	Spices and Herbs	10.63	1.652	0.011	40.3	0.0324	1.07	60.73	1.71	12.75	7.96	315	7.03	1.87	1.76	27768
Spices, thyme, dried	Spices and Herbs	9.11	1.89	0.055	37	0.05	0.814	63.94	1.71	7.43	7.79	276	2.73	0.47	1.19	27771
Spices, turmeric, ground	Spices and Herbs	7.83	0.183	0.038	21.1	0.0259	2.525	64.93	3.21	9.88	11.36	354	3.12	1.66	2.18	27772
Baby food, fortified cereal bar, fruit filling	Baby Foods	5.43	1.053	0.25	1.7	0.0024	0.18	68.63	42	5.3	14	344	0.453	3.107	1.541	27781
Babyfood, apple yogurt dessert, strained	Baby Foods	0.8	0.006	0.02	0.5	0.0351	0.07	19.5	12.02	1.6	77.9	96	1.034	0.438	0.044	27782
Babyfood, apple-banana juice	Baby Foods	0.2	0.007	0.004	0.2	0.0279	0.123	12.3	11	0.1	87.1	51	0.018	0.004	0.034	27783
Babyfood, apples with ham, strained	Baby Foods	2.6	0.004	0.009	1.8	0.0001	0.12	10.9	7.98	0.9	85.3	62	0.25	0.36	0.111	27785
Babyfood, apples, dices, toddler	Baby Foods	0.2	0.01	0.006	0.9	0.0313	0.05	12.1	10.83	0.1	87.5	51	0.02	0.004	0.03	27786
Babyfood, baked product, finger snacks cereal	Baby Foods	6.4	0.4	0.324	2.3	0.01	0.114	76.68	28	9.9	3.7	421	1.646	3.13	3.638	27787
Babyfood, banana apple dessert, strained	Baby Foods	0.3	0.003	0.007	1	0.0123	0.071	16.3	14.66	0.2	83.1	68	0.058	0.018	0.047	27788
Babyfood, banana juice with low fat yogurt	Baby Foods	2.5	0.079	0.037	0.4	0.0339	0.16	17.54	13.28	0.8	78.5	89	0.517	0.219	0.022	27789
Babyfood, banana no tapioca, strained	Baby Foods	1	0.004	0.002	1.6	0.0219	0.29	21.34	11.36	0.2	76.7	91	0.072	0.028	0.041	27790
Babyfood, carrots and beef, strained	Baby Foods	3.4	0.022	0.069	2.6	0.0008	0.226	5.7	2.04	2.5	87.3	59	0.96	1.06	0.13	27791
Babyfood, carrots, toddler	Baby Foods	0.6	0.019	0.048	2.3	0.0007	0.129	5.23	2.5	0.3	93.5	26	0.052	0.012	0.148	27792
Babyfood, cereal, barley, dry	Baby Foods	11.1	0.795	0.012	8.2	0.0022	0.395	75.3	3.1	3.4	6.8	365	0.418	0.666	1.759	27793
Babyfood, cereal, barley, prepared with whole milk	Baby Foods	3.73	0.162	0.043	0.6	0.0002	0.151	9.94	5.1	3.26	82.19	84	1.76	0.802	0.309	27794
Babyfood, cereal, brown rice, dry, instant	Baby Foods	8.7	0.055	0.009	6.5	0	0.386	85.65	0.92	3	1	404	0.6	1.08	1.07	27795
Babyfood, cereal, mixed, dry	Baby Foods	12.2	0.733	0.003	7.5	0.0023	0.437	73.4	0.87	4.4	6.7	379	0.769	1.206	1.697	27800
Babyfood, cereal, mixed, prepared with whole milk	Baby Foods	4.14	0.22	0.042	0.8	0.0003	0.166	12.3	4.78	3.38	79.21	96	1.745	0.855	0.359	27801
Babyfood, cereal, mixed, with applesauce and bananas, junior	Baby Foods	1.2	0.004	0.003	1.2	0.0091	0.032	18.4	7.79	0.4	79.6	83	0.072	0.108	0.152	27802
Babyfood, cereal, mixed, with applesauce and bananas, strained	Baby Foods	1.2	0.006	0.003	1.2	0.0255	0.041	18	7.79	0.5	80	82	0.09	0.135	0.191	27803
Babyfood, cereal, mixed, with bananas, dry	Baby Foods	10.7	0.696	0	7.8	0.0036	0.668	77.1	6.68	4.6	4.5	391	0.846	1.223	1.734	27804
Babyfood, cereal, mixed, with bananas, prepared with whole milk	Baby Foods	3.82	0.153	0.048	0.4	0.0004	0.178	10	5.9	3.46	81.81	86	1.808	0.859	0.342	27805
Babyfood, cereal, oatmeal, dry	Baby Foods	13.07	0.707	0.004	9	0	0.42	69.65	3.84	8	5.9	399	1.37	2.57	2.47	27807
Babyfood, cereal, oatmeal, with applesauce and bananas, junior	Baby Foods	1.3	0.006	0.003	0.8	0.0245	0.048	15.7	9.48	0.7	81.8	75	0.126	0.216	0.253	27809
Babyfood, cereal, oatmeal, with applesauce and bananas, strained	Baby Foods	1.3	0.009	0.003	0.8	0.0218	0.047	15.4	10.49	0.7	82.2	74	0.125	0.216	0.253	27810
Babyfood, cereal, oatmeal, with bananas, dry	Baby Foods	12	0.651	0.006	5.2	0.0047	0.731	73.4	13.75	6	4.7	393	1.267	1.429	2.186	27811
Babyfood, cereal, oatmeal, with bananas, prepared with whole milk	Baby Foods	3.82	0.153	0.048	0.4	0.0004	0.178	10	5.9	3.46	81.81	86	1.82	0.859	0.345	27812
Babyfood, cereal, rice, dry	Baby Foods	7.1	0.85	0.006	0.5	0.0024	0.385	77.7	0.12	4.9	6.7	391	0.919	1.26	2.016	27815
Babyfood, cereal, rice, with applesauce and bananas, strained	Baby Foods	1.2	0.017	0.004	1	0.0316	0.028	17.1	2.24	0.4	81	80	0.114	0.104	0.102	27817
Babyfood, cereal, rice, with bananas, dry	Baby Foods	8.7	0.691	0	1	0.002	0.769	79.9	16.7	4.2	4.7	404	0.978	0.986	1.503	27818
Babyfood, cereal, rice, with bananas, prepared with whole milk	Baby Foods	3.57	0.156	0.047	0.1	0.0002	0.18	10.49	6.13	3.32	81.81	86	1.798	0.826	0.294	27819
Babyfood, cereal, rice, with mixed fruit, junior	Baby Foods	0.9	0.016	0.01	0.6	0.0093	0.05	18.3	10.5	0.2	80.4	82	0.06	0.04	0.05	27821
Babyfood, cereal, whole wheat, with apples, dry	Baby Foods	12.6	0.6	0.025	12.2	0.0583	0.516	77.1	22.2	4.8	1.7	402	0.639	1.277	1.866	27822
Babyfood, cherry cobbler, junior	Baby Foods	0.3	0.005	0	0.2	0.0093	0.045	19.2	10.39	0.1	79.8	78	0.02	0.02	0.03	27826
Babyfood, cookie, baby, fruit	Baby Foods	6.8	0.083	0.009	3.4	0.0015	0.425	73.7	24.2	12.6	5.7	435	2.7	4.865	4.334	27827
Babyfood, cookies	Baby Foods	11.8	0.101	0.357	0.2	0.007	0.501	67.1	24.2	13.2	5.9	433	2.352	5.99	2.878	27828
Babyfood, corn and sweet potatoes, strained	Baby Foods	1.26	0.018	0.014	1.8	0.005	0.154	15.23	4	0.28	82.62	68	0.053	0.071	0.123	27830
Babyfood, crackers, vegetable	Baby Foods	8.4	0.041	0.571	4	0.0505	0.245	66.85	13	19.6	2	477	1.966	15.779	1.022	27831
Babyfood, dessert, banana pudding, strained	Baby Foods	1	0.011	0.054	0.8	0.012	0.09	14.14	10.55	0.8	83.5	68	0.264	0.277	0.111	27832
Babyfood, dessert, banana yogurt, strained	Baby Foods	1.1	0.03	0.014	0.5	0.0139	0.1	17.4	3.95	0.52	80.7	79	0.37	0.12	0.03	27833
Babyfood, dessert, blueberry yogurt, strained	Baby Foods	0.5	0.025	0.014	0.4	0.0124	0.062	17.05	13.62	0.7	81.4	77	0.452	0.192	0.019	27834
Babyfood, dessert, cherry vanilla pudding, junior	Baby Foods	0.2	0.005	0	0.3	0.0011	0.033	18.4	16.98	0.2	81	69	0.058	0.07	0.036	27835
Babyfood, dessert, cherry vanilla pudding, strained	Baby Foods	0.2	0.005	0	0.3	0.0011	0.034	17.8	9.15	0.3	81.5	68	0.087	0.105	0.053	27836
Babyfood, dessert, custard pudding, vanilla, junior	Baby Foods	1.76	0.054	0.026	0.2	0.0004	0.068	17.58	12.2	0.98	79.31	86	0.325	0.364	0.128	27837
Babyfood, dessert, dutch apple, junior	Baby Foods	0.2	0.003	0.003	1.4	0.018	0.067	19.29	17.89	0.16	80.32	79	0.025	0.006	0.045	27839
Babyfood, dessert, dutch apple, strained	Baby Foods	0.2	0.005	0	1.4	0.0214	0.033	19.74	17.89	0.4	79.5	75	0.19	0.08	0.01	27840
Babyfood, dessert, fruit pudding, pineapple, strained	Baby Foods	1.3	0.031	0	0.7	0.0272	0.081	20.3	10.28	0.3	77.6	81	0.099	0.109	0.041	27844
Babyfood, dessert, peach yogurt	Baby Foods	0.9	0.027	0.014	0.4	0.0117	0.102	17.6	6.63	0.18	80.87	76	0.117	0.048	0.005	27847
Babyfood, dinner, apples and chicken, strained	Baby Foods	2.16	0.018	0.012	1.8	0.0002	0.095	10.87	7.9	1.38	85.4	65	0.347	0.411	0.35	27849
Babyfood, dinner, beef noodle, junior	Baby Foods	2.5	0.008	0.026	1.1	0.0014	0.046	7.3	1.45	1.9	87.8	57	0.766	0.838	0.094	27852
Babyfood, dinner, beef noodle, strained	Baby Foods	2.44	0.01	0.015	1.3	0.0001	0.087	8.18	1.42	2.26	86.84	63	0.937	0.941	0.141	27853
Babyfood, dinner, beef stew, toddler	Baby Foods	5.1	0.009	0.106	1.1	0.003	0.142	5.5	1.39	1.2	86.9	51	0.58	0.44	0.1	27854
Babyfood, dinner, beef with vegetables	Baby Foods	2.03	0.019	0.038	1.8	0	0.127	6.36	2.16	6.93	84.3	96	2.84	3.12	0.9	27855
Babyfood, dinner, broccoli and chicken, junior	Baby Foods	3.59	0.037	0.017	1.4	0.0177	0.17	6.34	1.43	2.48	86.92	62	0.51	0.77	0.43	27856
Babyfood, dinner, chicken and noodle with vegetables, toddler	Baby Foods	3.8	0.011	0.235	0.6	0.0017	0.095	8.89	0.82	1.7	85.3	66	0.461	0.632	0.392	27857
Babyfood, dinner, chicken and rice	Baby Foods	1.6	0.018	0.025	1.1	0.001	0.06	9.2	0.55	0.9	88	51	0.211	0.392	0.188	27858
Babyfood, dinner, chicken noodle, junior	Baby Foods	2.37	0.021	0.035	0.9	0.0001	0.039	8.79	1.07	1.18	87.25	55	0.338	0.467	0.272	27859
Babyfood, dinner, chicken noodle, strained	Baby Foods	2.69	0.027	0.038	2.1	0.0001	0.139	9.08	2.5	2.06	85.64	66	0.595	0.854	0.461	27860
Babyfood, dinner, chicken soup, strained	Baby Foods	1.6	0.037	0.016	1.1	0.001	0.066	7.2	1.72	1.7	89.1	50	0.278	0.425	0.9	27861
Babyfood, dinner, chicken stew, toddler	Baby Foods	5.2	0.036	0.025	0.6	0.0019	0.092	6.4	1.68	3.7	83.3	78	1.1	1.7	0.77	27862
Babyfood, dinner, macaroni and cheese, junior	Baby Foods	2.6	0.051	0.266	0.3	0.0013	0.044	8.2	1.32	2	86.5	61	1.175	0.534	0.132	27863
Babyfood, dinner, macaroni and cheese, strained	Baby Foods	3.14	0.066	0.119	0.7	0.0001	0.067	8.95	1.27	2.11	85.25	67	1.291	0.581	0.103	27864
Babyfood, dinner, macaroni and tomato and beef, junior	Baby Foods	2.5	0.014	0.035	1.1	0.0015	0.072	9.4	2.43	1.1	86.7	59	0.411	0.447	0.079	27865
Babyfood, dinner, macaroni and tomato and beef, strained	Baby Foods	2.36	0.017	0.038	1.2	0.0003	0.112	9.45	2.09	1.47	86.34	61	0.486	0.594	0.193	27866
Babyfood, dinner, macaroni, beef and tomato sauce, toddler	Baby Foods	4.34	0.012	0.035	1.1	0.0019	0.148	11.53	0.37	1.9	81.81	81	0.705	0.782	0.14	27867
Babyfood, dinner, pasta with vegetables	Baby Foods	1.7	0.014	0.011	1.5	0.0029	0.133	8.4	1.2	2.1	87.3	60	1.23	0.58	0.144	27870
Babyfood, dinner, potatoes with cheese and ham, toddler	Baby Foods	3.5	0.053	0.205	1.2	0.0001	0.143	11.97	0.8	2	81.5	78	1.1	0.733	0.163	27871
Babyfood, dinner, spaghetti and tomato and meat, junior	Baby Foods	2.57	0.015	0.03	1.1	0.0002	0.122	11.42	2.72	1.37	84.17	68	0.543	0.497	0.185	27872
Babyfood, dinner, sweet potatoes and chicken, strained	Baby Foods	2.51	0.03	0.022	1.3	0	0.2	11.04	5.37	2.17	83.7	74	0.572	0.98	0.48	27874
Babyfood, dinner, turkey and rice, junior	Baby Foods	2.37	0.024	0.023	1	0.0003	0.086	9.57	1.25	0.92	86.64	56	0.239	0.304	0.233	27875
Babyfood, dinner, turkey and rice, strained	Baby Foods	2.27	0.018	0.019	0.9	0.0002	0.091	7.94	1.66	1.24	88.22	52	0.338	0.446	0.308	27876
Babyfood, dinner, turkey, rice, and vegetables, toddler	Baby Foods	3.8	0.011	0.276	0.8	0.0003	0.107	7.5	0.66	1.6	86.3	60	0.5	0.555	0.309	27877
Babyfood, dinner, vegetables and bacon, strained	Baby Foods	1.92	0.014	0.049	1.7	0.0003	0.116	8.81	1.77	2.95	85.75	69	1.063	1.347	0.377	27878
Babyfood, dinner, vegetables and beef, junior	Baby Foods	2.21	0.017	0.031	1.3	0.0002	0.145	8.84	2.34	3.6	84.94	77	1.367	1.289	0.298	27879
Babyfood, dinner, vegetables and beef, strained	Baby Foods	2.21	0.017	0.031	1.3	0.0002	0.145	8.84	2.34	3.6	84.94	77	0.87	0.82	0.19	27880
Babyfood, dinner, vegetables and chicken, junior	Baby Foods	2.04	0.027	0.034	1.1	0.0002	0.083	8.66	1.46	1.12	87.76	53	0.302	0.402	0.269	27881
Babyfood, dinner, vegetables and ham, junior	Baby Foods	2.02	0.014	0.045	1	0.0011	0.097	8.64	0.99	1.89	87	60	0.483	0.811	0.448	27884
Babyfood, dinner, vegetables and ham, strained	Baby Foods	2.19	0.016	0.016	1.6	0.0016	0.141	7.8	1.37	2.14	87.47	59	0.764	0.963	0.234	27885
Babyfood, dinner, vegetables and lamb, junior	Baby Foods	2.1	0.013	0.013	1.1	0.0017	0.095	7.1	0.94	1.7	88.6	51	0.696	0.69	0.154	27886
Babyfood, dinner, vegetables and lamb, strained	Baby Foods	2	0.012	0.02	1.1	0.0012	0.094	6.9	0.94	2	88.6	52	0.828	0.822	0.167	27887
Babyfood, dinner, vegetables and turkey, junior	Baby Foods	1.72	0.016	0.045	0.9	0.0004	0.098	7.55	1.36	1.74	88.5	53	0.485	0.687	0.391	27890
Babyfood, dinner, vegetables and turkey, strained	Baby Foods	2.32	0.027	0.02	1.5	0.0007	0.102	7.62	1.54	0.9	88.82	48	0.236	0.294	0.241	27891
Babyfood, dinner, vegetables chicken, strained	Baby Foods	2.47	0.027	0.024	2.1	0.0001	0.158	8.42	1.58	1.73	86.9	59	0.496	0.712	0.374	27893
Babyfood, fruit and vegetable, apple and sweet potato	Baby Foods	0.3	0.008	0.003	1.4	0.0064	0.149	15.3	11.6	0.22	84	64	0.041	0.008	0.079	27896
Babyfood, fruit dessert, mango with tapioca	Baby Foods	0.3	0.008	0.004	1.1	0.0158	0.066	19	13	0.2	80	70	0.039	0.06	0.03	27897
Babyfood, fruit supreme dessert	Baby Foods	0.5	0.006	0.001	2	0.0127	0.129	17.18	14.87	0.2	81.6	73	0.03	0.025	0.068	27898
Babyfood, fruit, apple and blueberry, junior	Baby Foods	0.2	0.005	0.001	1.8	0.0139	0.065	16.6	8.83	0.2	82.8	62	0.024	0.019	0.073	27899
Babyfood, fruit, apple and blueberry, strained	Baby Foods	0.2	0.004	0.001	1.8	0.0278	0.069	16.3	13.93	0.2	83.1	61	0.024	0.019	0.073	27900
Babyfood, fruit, apple and raspberry, junior	Baby Foods	0.2	0.005	0	2.1	0.0289	0.072	15.4	12.96	0.2	84	58	0.032	0.008	0.063	27901
Babyfood, fruit, apple and raspberry, strained	Baby Foods	0.2	0.005	0	2.1	0.0268	0.08	15.6	12.96	0.2	83.8	58	0.033	0.008	0.062	27902
Babyfood, fruit, applesauce and apricots, junior	Baby Foods	0.2	0.006	0	1.8	0.0179	0.109	12.4	8.72	0.2	86.9	47	0.028	0.03	0.051	27903
Babyfood, fruit, applesauce and apricots, strained	Baby Foods	0.2	0.006	0	1.8	0.0189	0.12	11.64	9.25	0.2	87.7	44	0.024	0.037	0.045	27904
Babyfood, fruit, applesauce with banana, junior	Baby Foods	0.37	0.005	0.003	1.6	0.0173	0.131	16.16	4.35	0.1	83.14	66	0.04	0.01	0.05	27909
Babyfood, fruit, applesauce, strained	Baby Foods	0.2	0.004	0	1.7	0.0383	0.071	10.8	9.87	0.2	88.6	41	0.032	0.008	0.056	27911
Babyfood, fruit, bananas and pineapple with tapioca, junior	Baby Foods	0.2	0.007	0	1.6	0.0212	0.078	18.4	8.41	0.1	81.1	68	0.036	0.009	0.02	27914
Babyfood, fruit, bananas with apples and pears, strained	Baby Foods	0.9	0.005	0.002	1.4	0.0139	0.233	19.31	12.76	0.22	79	83	0.106	0.028	0.085	27916
Babyfood, fruit, bananas with tapioca, junior	Baby Foods	0.4	0.008	0	1.6	0.0257	0.108	17.8	7.1	0.2	81.5	67	0.076	0.018	0.037	27917
Babyfood, fruit, bananas with tapioca, strained	Baby Foods	0.4	0.005	0	1.6	0.0167	0.088	15.3	0.38	0.1	84	56	0.035	0.01	0.019	27918
Babyfood, fruit, peaches, junior	Baby Foods	0.94	0.004	0.004	1.3	0.0461	0.195	14.48	11.5	0.33	83.65	65	0.02	0.01	0.04	27921
Babyfood, fruit, peaches, strained	Baby Foods	0.94	0.004	0.004	1.3	0.0461	0.195	14.48	11.5	0.33	83.65	65	0.02	0.01	0.04	27922
Babyfood, fruit, pears and pineapple, junior	Baby Foods	0.3	0.01	0	2.6	0.0168	0.118	11.4	7.36	0.2	87.8	44	0.013	0.031	0.058	27923
Babyfood, fruit, pears and pineapple, strained	Baby Foods	0.3	0.01	0	2.6	0.0275	0.116	10.9	7.79	0.1	88.5	41	0.007	0.016	0.029	27924
Babyfood, fruit, pears, junior	Baby Foods	0.3	0.008	0.001	3.6	0.022	0.115	11.6	7.34	0.1	87.8	44	0.006	0.021	0.023	27925
Babyfood, fruit, pears, strained	Baby Foods	0.3	0.008	0.001	3.6	0.0245	0.13	10.8	6.98	0.2	88.4	42	0.012	0.042	0.046	27926
Babyfood, fruit, prunes with tapioca, without ascorbic acid, junior	Baby Foods	0.6	0.015	0.002	2.7	0.0008	0.162	18.7	10.97	0.1	80.1	70	0.008	0.066	0.022	27929
Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained	Baby Foods	0.6	0.015	0.005	2.7	0.0008	0.177	18.5	10.97	0.1	80.3	69	0.008	0.066	0.022	27930
Babyfood, fruit, tutti frutti, junior	Baby Foods	0.4	0.014	0.017	0.4	0.0072	0.047	16	9.41	0.4	82.9	69	0.11	0.148	0.061	27931
Babyfood, fruit, tutti frutti, strained	Baby Foods	0.4	0.015	0.025	0.6	0.0124	0.046	15.48	9.29	0.3	83.5	66	0.087	0.113	0.043	27932
Babyfood, green beans, dices, toddler	Baby Foods	1.2	0.027	0.037	1.3	0.0017	0.116	5.7	1.06	0.2	92.6	29	0.044	0.008	0.102	27933
Babyfood, juice, apple and cherry	Baby Foods	0.1	0.005	0	0.1	0.0583	0.098	9.9	8.98	0.2	89.5	41	0.035	0.011	0.06	27937
Babyfood, juice, apple and grape	Baby Foods	0.1	0.006	0	0.1	0.0315	0.09	11.34	10.9	0.2	88.1	46	0.04	0.009	0.059	27938
Babyfood, juice, apple and peach	Baby Foods	0.2	0.003	0	0.1	0.0585	0.097	10.5	9.59	0.1	89	43	0.018	0.002	0.031	27939
Babyfood, juice, apple and prune	Baby Foods	0.2	0.009	0.008	0.1	0.0675	0.148	18.1	10.58	0.1	81.3	72	0.018	0.006	0.031	27941
Babyfood, juice, apple, with calcium	Baby Foods	0.06	0.127	0.003	0.4	0.0212	0.092	11.1	9	0.1	88.3	46	0.018	0.005	0.032	27942
Babyfood, juice, apple-sweet potato	Baby Foods	0.3	0.015	0.005	0.5	0.0341	0.137	11.4	9.6	0.1	87.9	48	0.03	0.01	0.05	27943
Babyfood, juice, fruit punch, with calcium	Baby Foods	0.2	0.064	0.004	0.4	0.0212	0.086	12.7	10.6	0.1	86.5	52	0.02	0.004	0.029	27944
Babyfood, juice, mixed fruit	Baby Foods	0.1	0.008	0.008	0.1	0.0636	0.101	11.7	8.46	0.1	87.9	47	0.015	0.006	0.039	27945
